Character,Sentence
snape,I told Dumbledore you were helping a friend into the castle. Here's the proof.
harry,Norbert?
harry,But you made it go away.
harry,Stop. Hold still!
hermione,That felt good.
snape,Give me a reason. I beg you!
harry,It's true sir. Sirius is innocent.
harry,Still doing that after three years.
dumbledore,But I think I could be safe with a nice toffee...
harry,"No, Colin, get out of the way."
hermione,Salazar Slytherin was a Parselmouth.
harry,"I belong in your world, at Hogwarts. "
harry,"The monster had killed somebody, Ron."
dumbledore,It is not our abilities that show what we truly are.
harry,No. Pettigrew's dead. You killed him!
harry,Don't worry. I will be.
harry,I spoke a different language?
hermione,Awful things happen to wizards who meddle with time Harry.
harry,Why didn't I see it before? 
harry,What would any of us have done?
harry,She only saw the basilisk's reflection.
harry,Just Harry.
hermione,Harry!
harry,Yeah? Try me.
harry,I know. I accidentally set a python on my cousin Dudley at the zoo once.
hermione,Filch is gone.
snape,Reveal your secrets.
harry,You wait here and try and shift some of this rock so we can get back through.
harry,You? No. It can't be...Snape. He was the one
hermione,I hear Draco's father's furious.
harry,And kill me.
harry,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.
harry,"Thank you, sir."
harry,We've got to go. We've got to save her.
harry,"Well, I don't know exactly what it means."
harry,"No. Don't worry, okay?"
dumbledore,Welcome! Welcome to another year at Hogwarts.
harry,I'm a what?
dumbledore,"And now, as I understand it, the house cup needs awarding, and the points stand thus. "
harry,No.
harry, Do you mean to say...that that thing that killed the unicorn...
harry,"Earlier, it showed someone in the castle."
harry,Clearly someone doesn't want me here this year.
dumbledore,"No, minister. Over this way."
hermione,"Standard book of spells, Chapter 7."
harry,"Clearly, Hermione knows."
dumbledore,"Fascinating creatures, phoenixes."
