,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
1674,Master,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
704,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2094,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
2064,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
2109,PhD,Married,60s,High,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
1833,2n Cycle,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
799,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1047,Master,Married,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
2183,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1659,Graduation,Married,30s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1581,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
341,PhD,Single,30s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
1448,Master,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1722,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1016,2n Cycle,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1684,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
742,2n Cycle,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2108,Master,Single,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
228,2n Cycle,Single,80s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
588,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
843,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1728,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
454,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
964,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
757,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1629,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1349,Graduation,Divorced,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
284,Master,Together,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
439,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1190,Graduation,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
723,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1416,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
112,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
449,PhD,Widow,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1931,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1216,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
911,Graduation,Together,20s,High,Children,Wine,Fruits,Meat,Sweets,Web
1790,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1568,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
782,Master,Single,40s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
802,PhD,Together,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
1130,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1241,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1102,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
289,Graduation,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
332,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1912,Master,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1462,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
438,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1143,Graduation,Married,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
882,PhD,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
314,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1580,Graduation,Single,20s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1780,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1555,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
829,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
541,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1329,Master,Married,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
41,Master,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1490,2n Cycle,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
544,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1910,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
901,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1740,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1605,2n Cycle,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
494,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
140,Graduation,Married,40s,High,Children,Wine,Fruits,No Meat,Sweets,Web
1861,PhD,Together,60s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1469,Master,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
2077,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2142,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1633,Graduation,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
30,Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
295,Graduation,Widow,40s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Web
1767,Graduation,Together,40s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
1723,Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
989,2n Cycle,Married,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1654,Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
75,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1428,Graduation,Married,50s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Store
64,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
88,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1415,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1487,PhD,Single,50s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
15,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
1165,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1073,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2071,Master,Together,60s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1375,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
491,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
773,Master,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
945,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
598,Master,Widow,60s,Medium,No Children,Wine,Fruits,No Meat,No Sweets,Store
1030,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
73,Graduation,Together,40s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
667,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
47,Master,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
502,Master,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1388,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1870,PhD,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1495,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1211,PhD,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2204,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
203,Graduation,Married,20s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
220,2n Cycle,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1854,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
279,2n Cycle,Together,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1844,2n Cycle,Divorced,30s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1562,Master,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1110,Graduation,Single,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
1563,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
370,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
1908,Master,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
840,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
455,Graduation,Married,60s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
296,Graduation,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
770,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1736,PhD,Widow,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1032,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1454,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1866,Master,Single,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
999,Graduation,Single,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1432,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1869,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
550,2n Cycle,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1586,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1599,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
142,Graduation,Alone,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1392,PhD,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1355,Master,Divorced,40s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
1127,Master,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1479,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
376,PhD,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1480,PhD,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1741,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
12,Master,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1054,2n Cycle,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
2053,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2139,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
660,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1872,Graduation,Married,20s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
876,Master,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
46,Graduation,Widow,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1608,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1934,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
928,PhD,Together,40s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
1503,PhD,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1250,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1104,Master,Married,20s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Web
1423,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2144,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1377,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1831,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1396,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1094,2n Cycle,Married,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
481,PhD,Divorced,60s,Medium,No Children,Wine,Fruits,Meat,No Sweets,Web
1458,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1764,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1119,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2169,Graduation,Married,60s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
707,Master,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
148,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
178,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
622,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
22,PhD,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1733,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
2211,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
957,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1236,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1820,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Store
2115,Master,Divorced,50s,High,Children,Wine,Fruits,No Meat,Sweets,Store
1366,Master,Divorced,50s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Web
9,PhD,Together,60s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1209,2n Cycle,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2023,Graduation,Single,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1719,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
2167,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1029,Graduation,Single,20s,Low,No Children,No Wine,Fruits,Meat,Sweets,Web
1598,Graduation,Married,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
2105,PhD,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
445,Graduation,Married,50s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
318,PhD,Single,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1511,PhD,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
433,Master,Divorced,30s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Web
1583,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
2026,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2150,Graduation,Married,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
1895,Master,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1100,Master,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1978,2n Cycle,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
632,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Store
1109,Master,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1007,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1666,PhD,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
180,PhD,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
482,Master,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1293,Graduation,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
682,Master,Married,50s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1068,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1046,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1111,Graduation,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
547,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1774,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2036,Master,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
346,PhD,Together,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
167,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1149,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
939,Master,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
659,Graduation,Widow,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
943,Graduation,Married,40s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
538,Graduation,Single,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
927,2n Cycle,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
194,Master,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
916,PhD,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
940,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
701,Graduation,Together,20s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Store
8,PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1706,PhD,Widow,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1964,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1759,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
1636,Graduation,Together,30s,High,No Children,No Wine,No Fruits,Meat,No Sweets,Web
1906,Master,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
553,Graduation,Single,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1991,PhD,Divorced,50s,High,Children,Wine,No Fruits,No Meat,Sweets,Store
516,PhD,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1441,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1393,PhD,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1658,2n Cycle,Together,20s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
919,PhD,Single,60s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
1183,2n Cycle,Married,40s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
2201,PhD,Single,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1164,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
570,Master,Married,60s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
790,PhD,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2017,Graduation,Married,20s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1510,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
266,Master,Together,30s,High,No Children,No Wine,Fruits,Meat,Sweets,Store
414,Graduation,Married,20s,High,Children,Wine,No Fruits,Meat,Sweets,Store
277,Graduation,Widow,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
2010,Graduation,Divorced,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
189,Graduation,Divorced,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
817,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1289,2n Cycle,Married,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1435,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1248,PhD,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1180,Graduation,Single,50s,High,Children,No Wine,Fruits,No Meat,No Sweets,Web
37,PhD,Divorced,60s,Medium,No Children,Wine,No Fruits,Meat,Sweets,Web
1549,Master,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
947,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
839,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
636,Graduation,Together,50s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1700,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2113,Graduation,Widow,40s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Web
733,2n Cycle,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1855,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1235,PhD,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1788,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
350,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1328,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1548,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
559,2n Cycle,Single,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Web
2099,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
644,2n Cycle,Together,50s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
907,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2102,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
271,Graduation,Together,60s,Medium,No Children,No Wine,No Fruits,No Meat,Sweets,Store
413,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
131,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2090,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
32,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
263,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
24,Graduation,Single,40s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
1308,Master,Together,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
81,Graduation,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
109,2n Cycle,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
486,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
206,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
498,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1311,Basic,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1889,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
2153,Master,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1500,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1681,PhD,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2159,Graduation,Married,40s,Medium,No Children,No Wine,Fruits,No Meat,Sweets,Store
783,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
2003,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1826,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
372,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
182,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
153,PhD,Married,30s,High,Children,No Wine,No Fruits,Meat,No Sweets,Web
725,Basic,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1806,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
926,PhD,Divorced,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
898,Graduation,Together,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
976,PhD,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1274,2n Cycle,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
55,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
273,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
128,PhD,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1540,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
352,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1364,Graduation,Married,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
500,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
845,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1452,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1940,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
932,PhD,Married,20s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
207,Master,Widow,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
134,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1472,Master,Together,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1988,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1972,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1514,2n Cycle,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
463,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1714,Graduation,Married,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
320,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2040,PhD,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
969,Master,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
404,Graduation,Together,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1291,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1739,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1234,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1603,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1251,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1890,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
